Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,高技术出口,至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,森林面积,农业用地
1970,27.4,217.9,,,,,,,,,,,,0.7006
1971,26.9,226.1,,,,,498.8,95.35389,,,13129.92,5.535048,70.06567,
1972,27.2,344.8,0.0,,,,494.2,119.8182,,,13454.2,5.5469,70.07364,
1973,27.4,212.0,,,,,478.7,144.3446,,,13320.36,5.599238,70.08161,
1974,27.0,195.0,,,,,468.5,128.7033,,,13282.0,5.791096,70.08958,
1975,27.0,199.2,,,,,473.1,183.1954,,,14171.27,6.185298,70.09755,
1976,27.2,259.0,,,,,408.8,188.6611,,,14181.48,6.820821,70.10552,
1977,27.2,334.6,1796103.0,,,,428.7,103.8186,,,15106.95,7.654755,70.1135,
1978,27.2,257.6,,,,,447.0,105.1133,,,16193.48,8.56795,70.12147,
1979,27.2,280.8,,,,,422.6,100.1941,,,16303.41,9.393252,70.12944,
1980,27.4,188.2,,,,,462.6,96.09607,,,16255.97,10.01233,70.13741,
1981,27.1,327.1,,,,,530.6,107.3721,,,16817.97,10.37893,70.14538,
1982,27.1,347.7,-454532.0,,,,532.6,117.1935,,,17214.38,10.53343,70.15335,
1983,27.3,202.2,,,,,643.6,110.8848,,,16876.41,10.55025,70.16132,
1984,26.9,232.7,,,,,643.8,119.1748,,,17197.47,10.54406,70.16929,
1985,27.1,226.6,,,,,746.9,131.8174,,,17755.74,10.59813,70.17726,
1986,27.2,242.7,,,,,920.2,138.0961,,,18075.94,10.7386,70.18523,
1987,27.4,268.7,-410787.0,,,,693.7,147.1515,,,18756.76,10.93867,70.1932,
1988,27.3,266.7,,,,,699.1,148.2167,,,19427.3,11.16655,70.19957,
1989,27.0,338.8,,373.0,,,792.1,153.1407,,,19403.41,11.37065,70.20117,
1990,27.3,272.2,,2650.0,,,793.1,126.925,,,25140.0,11.51702,70.20435,13.20257
1991,27.3,229.0,,8005.0,,,560.9,,,,22270.0,11.59503,70.20435,13.08023
1992,27.2,231.2,-822004.0,1154.0,,,504.7,,,,20350.0,11.62907,70.20595,12.95789
1993,27.1,252.6,,25.0,,,452.5,,,,22350.0,11.66172,70.20754,12.83554
1994,27.1,287.0,,237.0,,,410.4,,,,24320.0,11.75215,70.21711,12.7132
1995,27.4,263.7,,104.0,,,494.6,,,,25000.0,11.94192,70.22667,12.59086
1996,27.3,228.9,,440.0,,,504.5,,,,25470.0,12.24644,70.23464,12.46852
1997,27.2,333.2,0.0,,,,481.1,,,,25890.0,12.65043,70.24261,12.34618
1998,27.5,257.1,,,,,419.6,,,,25770.0,13.12696,70.24421,12.22383
1999,27.2,249.2,,25.0,,,581.7,,,,25860.0,13.6347,70.24421,12.10149
2000,27.3,268.2,,,,,733.0,,,23.66108,26060.0,14.14265,70.24421,11.97915
2001,27.3,245.2,,228.0,,,812.7,,,25.22862,26650.0,14.64392,70.25058,11.85681
2002,27.5,281.6,0.0,114.0,,7.4,769.8,,,26.7933,27080.0,15.14543,70.49766,11.73447
2003,27.5,274.5,,,,9.908855,688.0,,,28.5589,27340.0,15.64608,70.57736,11.61212
2004,27.4,277.4,,0.0,,11.49068,581.1,,,30.31994,27680.0,16.14794,70.73836,11.48978
2005,27.4,270.3,,,,13.06084,650.9,,,32.07422,28160.0,16.65262,70.73836,11.36744
2006,27.4,281.4,,547.0,,15.23379,493.7,,,33.82366,26940.0,17.15801,70.4052,11.2451
2007,27.3,288.7,-199997.0,1575.0,,16.17986,605.8,,,33.82597,25880.0,17.66207,70.18204,11.12276
2008,27.1,265.8,,1521.0,12000.0,17.74102,557.5,,,35.98034,25950.0,18.16748,70.34144,11.00041
2009,27.7,260.5,,1477.0,,19.31161,416.4,,,38.12852,26020.0,18.67837,70.34144,10.87807
2010,27.4,255.8,,2150.0,5200.0,20.89785,575.2,,,40.27196,26260.0,19.19834,70.34144,10.75573
2011,27.4,286.5,,1937.0,,22.50599,457.2,,,42.40725,26440.0,19.72823,70.18204,10.63339
2012,27.3,259.9,-233405.0,2624.0,28000.0,24.14054,1190.0,,,43.99182,26750.0,20.26889,70.17726,10.51105
2013,27.5,279.6,,913.0,60000.0,25.79921,964.0,297.9554,,45.57015,26900.0,20.82397,70.33666,10.3887
2014,27.5,260.8,,1111.0,36000.0,27.47798,555.0,295.2666,,47.14313,27050.0,21.3976,70.33666,10.26636
2015,27.7,292.9,,1197.0,59000.0,29.17281,538.0,293.4552,,48.71115,27110.0,21.99318,70.33666,10.14402
2016,27.8,277.3,,1925.0,70000.0,30.8797,507.2,295.9674,,50.2746,27070.0,22.61236,70.33666,10.02168
2017,27.6,335.2,-200002.0,1918.0,899000.0,32.59463,551.9,309.0544,,51.83293,26920.0,23.2556,70.33666,9.899337
2018,27.3,293.1,,2208.0,547000.0,34.31358,828.2,314.5427,,53.38651,26970.0,23.92359,70.33666,9.776995
2019,27.6,326.3,,1945.0,479000.0,36.0332,,320.0381,,54.93441,,24.61649,,9.654653
2020,,,,1942.0,1037000.0,,,313.8723,,56.47697,,25.3343,,9.532311
