Year,平均温度/摄氏度,降水量/mm,净移民,与战斗有关的死亡人数,国内流离失所者,电力供应,谷物产量,人均国内生产总值,GNI (current US$),至少使用基本饮用水服务的人数,温室气体排放总量,人口密度,农业用地,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
1970,22.3,832.8,,,,,,,,,,,,
1971,21.8,845.1,,,,,784.5,,,,54376.1,26.56553,53.89646,
1972,22.2,867.3,59597.0,,,,803.5,,,,53622.46,27.37584,54.06903,
1973,22.6,765.2,,,,,827.3,,,,55350.48,28.18953,54.02361,
1974,21.9,804.6,,,,,812.1,,,,51260.34,28.93856,53.9782,
1975,22.1,898.0,,,,,853.1,,,,50931.59,29.57934,53.93279,
1976,22.4,923.7,,,,,1063.7,,,,51242.89,30.08915,53.88738,
1977,22.4,979.3,2112372.0,,,,1035.5,,,,54505.55,30.49704,53.86921,
1978,22.4,773.4,,,,,897.3,,,,52141.33,30.87493,53.85014,
1979,22.5,782.1,,,,,1123.7,,,,54010.33,31.32407,53.83924,
1980,22.8,692.8,,,,,1260.7,,,,58090.72,31.91799,53.6921,
1981,22.2,799.9,,,,,1190.7,203.557,7317850048.30918,,54772.99,32.6835,53.46049,
1982,22.3,958.5,248546.0,,,,1165.0,208.3424,7698885748.79227,,57626.87,33.6015,53.22888,
1983,22.5,859.6,,,,,1335.8,224.6274,8554364251.20773,,57482.03,34.64367,52.99546,
1984,22.3,644.6,,,,,1169.8,205.6238,8076785458.9372,,55886.91,35.76235,52.57947,
1985,22.2,821.6,,,,,880.6,233.2187,9447700386.47343,,56113.4,36.92293,52.39782,
1986,22.4,714.3,,,,,965.6,234.6822,9817322463.76812,,59176.54,38.11598,52.1208,
1987,22.6,760.8,765993.0,,,,1152.9,242.9615,10480006666.6667,,57709.27,39.35444,51.79837,
1988,22.4,818.0,,,,,1214.1,243.7359,10844346376.8116,,57246.25,40.65141,51.56676,
1989,21.9,843.4,,24358.0,,,1172.2,248.0227,11396246714.9758,,61350.89,42.02753,51.33515,
1990,22.5,762.6,,49698.0,,,1238.1,254.2433,12108119661.8358,,66410.0,43.49488,51.14623,35.8007493213772
1991,22.6,750.6,,12225.0,,,1307.5,271.3944,13390412125.6039,,68180.0,45.05902,51.00636,
1992,22.3,775.9,1457943.0,165.0,,,1155.8,204.0502,10429217520.0714,,70720.0,46.70626,50.95822,
1993,22.2,861.0,,36.0,,,1313.0,165.6932,8734430671.62956,,66210.0,53.29556,30.54,
1994,22.4,821.6,,75.0,,,974.4,125.5496,6848460204.38158,,68610.0,55.18099,30.472,
1995,22.6,735.3,,29.0,,,1033.5,134.343,7603562639.92836,,70740.0,57.04791,30.5,35.8358049306162
1996,22.6,878.5,,52.0,,,1213.6,145.1669,8504359178.89306,,74930.0,58.88353,30.5,
1997,22.6,885.9,155577.0,,,,1263.9,141.5086,8492265911.60901,,78020.0,60.69744,30.492,
1998,22.8,865.0,,1040.0,,,1140.9,125.0761,7751811217.66928,,84790.0,62.50772,30.508,
1999,22.2,752.4,,30704.0,,,1124.6,119.6841,7648343127.98732,,85290.0,64.34301,30.676,
2000,22.6,855.0,,48257.0,,12.7,1116.3,124.4608,8182263337.46518,18.08545,83310.0,66.22481,30.662,35.533966751733
2001,22.7,813.1,,40.0,,25.47764,1198.0,120.7658,8180069454.11753,19.71259,87340.0,68.15942,30.6054,
2002,23.1,728.2,150001.0,50.0,,26.37948,1353.7,111.9272,7797207615.85915,21.32916,96880.0,70.14209,30.498,
2003,22.9,770.9,,50.0,,27.27185,1123.3,119.4904,8557581131.63568,22.93317,95260.0,72.17058,31.607,
2004,22.8,827.6,,50.0,,28.15358,1162.6,136.4663,10067656708.6258,24.52527,97630.0,65.74148,29.312,
2005,22.9,855.0,,83.0,,14.0,1361.4,162.4327,12365354408.4331,26.10544,101160.0,67.60392,29.74451,34.3510075789008
2006,22.9,875.1,,50.0,,29.88457,1563.3,194.6874,15242461910.6314,27.67427,106550.0,69.50165,30.30069,
2007,22.8,851.3,50132.0,177.0,,,1439.0,244.2861,19721806402.0923,29.2405,116900.0,71.43828,31.06118,
2008,22.7,853.6,,50.0,73000.0,31.60353,1446.3,326.4368,27086850118.9961,30.89481,121860.0,73.4245,30.56217,
2009,23.4,770.8,,515.0,,32.47401,1682.5,380.569,32395738209.0412,32.53496,126670.0,75.47694,30.98016,
2010,23.1,858.5,,151.0,10000.0,33.36016,1832.8,341.5541,29825574928.2445,34.16252,131440.0,77.60877,31.59875,35.6341454113469
2011,23.0,841.7,,51.0,,23.0,1961.6,354.4796,31883271774.1935,35.77623,133090.0,79.82579,32.16874,36.3179419484047
2012,22.8,860.7,399997.0,50.0,20000.0,35.20266,2046.8,467.0779,43214529006.0852,37.37703,140650.0,82.11673,32.31287,35.9738421341538
2013,23.2,926.8,,77.0,61000.0,36.16124,2193.1,499.5315,47541429851.2713,38.95492,147510.0,84.47108,32.49964,35.8842053645556
2014,22.9,915.4,,25.0,49000.0,27.2,2325.4,566.9264,55459432981.0434,40.51948,155660.0,86.86866,32.68613,35.0435974528957
2015,23.4,841.7,,49.0,104000.0,29.0,2556.1,640.5419,64326834729.9906,42.07007,161090.0,89.29237,32.87159,38.8586046907177
2016,23.3,921.3,,50.0,347000.0,42.9,2484.0,717.1249,74053937524.5784,43.60708,167190.0,91.74098,33.05753,39.245037575297
2017,23.1,932.3,150002.0,,434000.0,44.3,2512.6,768.523,81285191646.1807,45.12944,170620.0,94.21926,33.24251,38.9787377576037
